"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/06/2024","13.162,23","13.188,79","13.213,08","13.159,02","","-0,20%"
"13/06/2024","13.188,79","13.162,89","13.211,97","13.158,00","","0,20%"
"12/06/2024","13.162,89","13.186,16","13.209,32","13.154,49","","-0,18%"
"11/06/2024","13.186,16","13.142,58","13.209,85","13.142,58","","0,21%"
"10/06/2024","13.159,07","13.197,04","13.231,91","13.155,83","","-0,29%"
"07/06/2024","13.197,04","13.243,90","13.277,84","13.190,79","","-0,35%"
"06/06/2024","13.243,90","13.011,49","13.245,17","13.011,49","","1,46%"
"05/06/2024","13.053,28","13.238,72","13.247,64","13.053,28","","-1,40%"
"04/06/2024","13.238,72","13.314,09","13.345,50","13.236,05","","-0,57%"
"03/06/2024","13.314,09","13.310,40","13.368,51","13.310,40","","0,03%"
"31/05/2024","13.310,40","13.313,64","13.338,80","13.291,30","","-0,02%"
"30/05/2024","13.313,64","13.347,62","13.383,51","13.313,64","","-0,25%"
"29/05/2024","13.347,62","13.374,25","13.411,53","13.330,24","","-0,20%"
"28/05/2024","13.374,25","13.326,59","13.418,73","13.323,96","","0,36%"
"27/05/2024","13.326,59","13.369,39","13.386,26","13.318,47","","-0,33%"
"24/05/2024","13.370,70","13.375,53","13.382,64","13.314,22","","-0,04%"
"23/05/2024","13.375,53","13.391,68","13.478,67","13.373,88","","-0,12%"
"22/05/2024","13.392,04","13.426,85","13.463,31","13.380,02","","-0,26%"
"21/05/2024","13.426,85","13.444,34","13.495,27","13.406,36","","-0,13%"
"20/05/2024","13.444,34","13.426,13","13.495,18","13.405,53","","0,14%"
"17/05/2024","13.426,13","13.411,39","13.427,56","13.389,76","","0,11%"
"16/05/2024","13.411,39","13.421,40","13.455,44","13.399,26","","-0,07%"
"15/05/2024","13.421,40","13.501,46","13.521,37","13.421,40","","-0,59%"
"14/05/2024","13.501,46","13.541,33","13.572,97","13.490,42","","-0,29%"
"13/05/2024","13.541,33","13.527,01","13.589,67","13.526,28","","0,11%"
"10/05/2024","13.527,01","13.478,23","13.555,54","13.476,07","","0,36%"
"09/05/2024","13.478,23","13.414,20","13.490,24","13.396,93","","0,44%"
"08/05/2024","13.418,67","13.375,47","13.429,43","13.375,47","","0,32%"
"07/05/2024","13.375,47","13.362,48","13.382,47","13.322,88","","0,10%"
"06/05/2024","13.362,48","13.405,10","13.415,63","13.279,73","","-0,31%"
"03/05/2024","13.403,47","13.322,85","13.432,00","13.322,85","","0,61%"
"02/05/2024","13.322,85","13.319,36","13.387,01","13.296,93","","0,03%"
"30/04/2024","13.319,36","13.373,90","13.373,90","13.306,52","","-0,41%"
"29/04/2024","13.373,90","13.354,97","13.422,67","13.337,33","","0,14%"
"26/04/2024","13.354,97","13.346,81","13.361,90","13.279,77","","0,06%"
"25/04/2024","13.346,81","13.281,24","13.347,19","13.280,70","","0,49%"
"24/04/2024","13.281,24","13.246,66","13.312,37","13.244,13","","0,26%"
"23/04/2024","13.246,66","13.302,28","13.302,28","13.147,47","","-0,42%"
"22/04/2024","13.302,28","13.452,88","13.479,65","13.302,28","","-1,12%"
"19/04/2024","13.453,35","13.455,65","13.508,68","13.439,14","","-0,02%"
"18/04/2024","13.455,65","13.384,83","13.455,65","13.371,77","","0,53%"
"17/04/2024","13.384,83","13.362,33","13.433,28","13.245,64","","0,17%"
"16/04/2024","13.362,33","13.372,71","13.434,44","13.336,27","","-0,08%"
"15/04/2024","13.372,71","13.341,29","13.400,28","13.304,39","","0,24%"
"09/04/2024","13.341,29","13.219,95","13.355,73","13.212,77","","0,92%"
"08/04/2024","13.219,95","13.118,75","13.220,08","13.104,01","","0,77%"
"05/04/2024","13.118,75","13.106,43","13.131,86","13.059,82","","0,09%"
"04/04/2024","13.106,43","13.095,43","13.106,43","13.017,12","","0,08%"
"03/04/2024","13.095,43","13.053,12","13.116,23","13.050,29","","0,32%"
"02/04/2024","13.053,17","12.998,18","13.053,83","12.996,01","","0,35%"
"01/04/2024","13.007,12","13.009,23","13.058,01","12.998,94","","-0,02%"
"29/03/2024","13.009,23","12.986,94","13.030,62","12.958,12","","0,17%"
"28/03/2024","12.986,94","12.981,98","13.053,74","12.969,80","","0,04%"
"27/03/2024","12.981,98","12.938,50","12.984,29","12.926,67","","0,34%"
"26/03/2024","12.938,50","12.963,23","12.993,85","12.925,95","","-0,19%"
"25/03/2024","12.963,23","12.979,11","12.987,34","12.950,29","","-0,12%"
"22/03/2024","12.979,11","12.977,56","13.000,83","12.946,71","","0,01%"
"21/03/2024","12.977,56","12.961,87","13.005,38","12.953,79","","0,12%"
"20/03/2024","12.961,87","13.034,58","13.054,15","12.961,87","","-0,56%"
"19/03/2024","13.034,58","13.085,63","13.085,63","12.978,94","","-0,39%"
"18/03/2024","13.085,63","13.063,68","13.139,28","13.032,46","","0,17%"
"15/03/2024","13.063,68","12.968,77","13.063,68","12.963,76","","0,73%"
"14/03/2024","12.968,77","12.886,74","12.968,77","12.886,74","","0,64%"
"13/03/2024","12.886,74","12.846,52","12.891,82","12.840,91","","0,31%"
"12/03/2024","12.846,52","12.852,10","12.885,96","12.836,00","","-0,04%"
"11/03/2024","12.852,10","12.907,46","12.910,84","12.837,13","","-0,43%"
"08/03/2024","12.907,46","12.875,49","12.945,48","12.856,28","","0,25%"
"07/03/2024","12.875,49","12.935,98","12.963,46","12.874,39","","-0,47%"
"06/03/2024","12.935,98","13.002,44","13.004,40","12.913,67","","-0,51%"
"05/03/2024","13.002,44","13.001,70","13.043,53","12.919,14","","0,01%"
