"Date","Price","Open","High","Low","Change %"
"06/18/2024","3.075","3.075","3.075","3.075","-0.65%"
"06/17/2024","3.095","3.095","3.095","3.095","4.31%"
"06/14/2024","2.967","2.967","2.967","2.967","-2.59%"
"06/13/2024","3.046","3.046","3.046","3.046","1.28%"
"06/12/2024","3.007","3.007","3.007","3.007","-2.37%"
"06/11/2024","3.080","3.080","3.080","3.080","1.23%"
"06/10/2024","3.043","3.043","3.043","3.043","0.07%"
"06/07/2024","3.040","3.040","3.040","3.040","1.08%"
"06/06/2024","3.008","3.008","3.008","3.008","1.06%"
"06/05/2024","2.977","2.977","2.977","2.977","-2.01%"
"06/04/2024","3.037","3.037","3.037","3.037","0.98%"
"06/03/2024","3.008","3.008","3.008","3.008","1.36%"
"05/31/2024","2.967","2.967","2.967","2.967","0.90%"
"05/30/2024","2.941","2.941","2.941","2.941","-1.82%"
"05/29/2024","2.996","2.996","2.996","2.996","0.86%"
"05/28/2024","2.970","2.970","2.970","2.970","-1.70%"
"05/27/2024","3.022","2.945","3.022","2.945","2.42%"
"05/24/2024","2.950","2.950","2.950","2.950","0.75%"
"05/23/2024","2.928","2.928","2.928","2.928","-1.58%"
"05/22/2024","2.975","2.975","2.975","2.975","0.73%"
"05/21/2024","2.954","2.954","2.954","2.954","0.72%"
"05/20/2024","2.932","2.999","2.999","2.932","-2.23%"
"05/17/2024","3.000","3.000","3.000","3.000","0.69%"
"05/16/2024","2.979","2.979","2.979","2.979","0.66%"
"05/15/2024","2.960","2.960","2.960","2.960","1.68%"
"05/14/2024","2.911","2.911","2.911","2.911","0.62%"
"05/13/2024","2.892","2.892","2.892","2.892","-0.21%"
"05/10/2024","2.898","2.898","2.898","2.898","-1.31%"
"05/09/2024","2.937","2.937","2.937","2.937","0.58%"
"05/08/2024","2.920","2.920","2.920","2.920","0.57%"
"05/07/2024","2.904","2.957","2.957","2.904","-1.28%"
"05/06/2024","2.941","2.994","2.994","2.941","-1.80%"
"05/03/2024","2.995","2.995","2.995","2.995","-1.11%"
"05/02/2024","3.029","3.029","3.029","3.029","0.00%"
"05/01/2024","3.029","3.029","3.029","3.029","1.08%"
"04/30/2024","2.996","2.996","2.996","2.996","-1.07%"
"04/29/2024","3.029","3.076","3.076","3.029","-0.75%"
"04/26/2024","3.052","3.052","3.052","3.052","0.51%"
"04/25/2024","3.036","2.898","3.036","2.898","3.62%"
"04/24/2024","2.930","3.020","3.020","2.930","-3.93%"
"04/23/2024","3.050","3.050","3.050","3.050","0.48%"
"04/22/2024","3.036","3.036","3.036","3.036","0.00%"
"04/19/2024","3.035","3.035","3.035","3.035","-0.91%"
"04/18/2024","3.063","3.063","3.063","3.063","0.48%"
"04/17/2024","3.049","3.049","3.049","3.049","0.46%"
"04/16/2024","3.034","3.034","3.034","3.034","-0.90%"
"04/15/2024","3.062","3.062","3.062","3.062","0.03%"
"04/12/2024","3.061","3.061","3.061","3.061","0.46%"
"04/11/2024","3.047","3.047","3.047","3.047","-0.21%"
"04/10/2024","3.053","2.803","3.053","2.803","-10.53%"
"04/09/2024","3.413","3.413","3.413","3.413","2.62%"
"04/08/2024","3.326","3.326","3.326","3.326","11.39%"
"04/05/2024","2.986","2.986","2.986","2.986","0.56%"
"04/04/2024","2.970","2.970","2.970","2.970","0.47%"
"04/03/2024","2.955","2.955","2.955","2.955","0.39%"
"04/02/2024","2.944","2.944","2.944","2.944","0.32%"
"04/01/2024","2.934","2.934","2.934","2.934","-6.16%"
"03/29/2024","3.127","2.911","3.127","2.911","0.58%"
"03/28/2024","3.109","3.109","3.109","3.109","0.50%"
"03/27/2024","3.093","3.093","3.093","3.093","0.49%"
"03/26/2024","3.079","3.079","3.079","3.079","0.42%"
"03/25/2024","3.066","3.066","3.066","3.066","1.05%"
"03/22/2024","3.033","3.033","3.033","3.033","0.30%"
"03/21/2024","3.024","3.024","3.024","3.024","2.68%"
"03/20/2024","2.945","2.945","2.945","2.945","0.17%"
"03/19/2024","2.941","2.941","2.941","2.941","0.15%"
"03/18/2024","2.936","2.936","2.936","2.936","0.43%"
"03/15/2024","2.924","2.924","2.924","2.924","0.12%"
"03/14/2024","2.920","2.920","2.920","2.920","0.12%"
"03/13/2024","2.917","2.917","2.917","2.917","-3.46%"
"03/12/2024","3.021","3.021","3.021","3.021","0.20%"
"03/11/2024","3.015","3.015","3.015","3.015","0.55%"
"03/08/2024","2.999","2.999","2.999","2.999","0.15%"
"03/07/2024","2.994","2.994","2.994","2.994","0.15%"
"03/06/2024","2.990","2.990","2.990","2.990","0.13%"
"03/05/2024","2.986","2.986","2.986","2.986","0.15%"
"03/04/2024","2.981","2.981","2.981","2.981","1.78%"
"03/01/2024","2.929","2.929","2.929","2.929","-0.20%"
"02/29/2024","2.935","2.935","2.935","2.935","0.09%"
"02/28/2024","2.932","2.932","2.932","2.932","0.09%"
"02/27/2024","2.930","2.930","2.930","2.930","-2.41%"
"02/26/2024","3.003","3.003","3.003","3.003","0.35%"
"02/23/2024","2.992","2.992","2.992","2.992","0.10%"
"02/22/2024","2.989","3.059","3.059","2.989","-2.14%"
"02/21/2024","3.055","3.055","3.055","3.055","0.16%"
"02/20/2024","3.049","3.049","3.049","3.049","-1.99%"
"02/19/2024","3.112","3.112","3.112","3.112","0.47%"
"02/16/2024","3.097","3.097","3.097","3.097","0.15%"
"02/15/2024","3.092","3.092","3.092","3.092","0.15%"
"02/14/2024","3.088","3.088","3.088","3.088","0.13%"
"02/13/2024","3.084","3.084","3.084","3.084","-0.80%"
"02/12/2024","3.109","3.109","3.109","3.109","0.42%"
"02/09/2024","3.096","3.096","3.096","3.096","0.13%"
"02/08/2024","3.092","3.092","3.092","3.092","0.11%"
"02/07/2024","3.089","3.089","3.089","3.089","0.15%"
"02/06/2024","3.084","3.084","3.084","3.084","0.11%"
"02/05/2024","3.080","3.080","3.080","3.080","-1.30%"
"02/02/2024","3.121","3.121","3.121","3.121","0.13%"
"02/01/2024","3.117","3.117","3.117","3.117","0.14%"
"01/31/2024","3.112","3.112","3.112","3.112","0.11%"
"01/30/2024","3.109","3.109","3.109","3.109","0.11%"
"01/29/2024","3.105","3.105","3.105","3.105","0.34%"
"01/26/2024","3.095","3.095","3.095","3.095","0.10%"
"01/25/2024","3.092","3.092","3.092","3.092","0.83%"
"01/24/2024","3.066","3.066","3.066","3.066","0.11%"
"01/23/2024","3.063","3.063","3.063","3.063","0.08%"
"01/22/2024","3.060","3.016","3.060","3.016","1.68%"
"01/19/2024","3.010","3.053","3.053","3.010","-1.31%"
"01/18/2024","3.050","2.966","3.050","2.966","-96.95%"
"01/17/2024","99.940","2.964","2.964","2.964","3,276.35%"
"01/12/2024","2.960","2.960","2.960","2.960","0.00%"
"01/11/2024","2.960","2.960","2.960","2.960","-7.67%"
"01/10/2024","3.206","3.206","3.206","3.206","8.31%"
"01/09/2024","2.960","2.960","2.960","2.960","6.32%"
"01/08/2024","2.784","3.312","3.312","2.784","-7.88%"
"01/05/2024","3.022","3.022","3.022","3.022","4.06%"
"01/04/2024","2.904","2.904","2.904","2.904","-6.76%"
"01/03/2024","3.115","3.115","3.115","3.115","3.56%"
"01/02/2024","3.007","3.007","3.007","3.007","0.00%"
"01/01/2024","3.007","3.007","3.007","3.007","-4.28%"
"12/29/2023","3.142","3.142","3.142","3.142","2.55%"
"12/28/2023","3.064","3.064","3.064","3.064","2.36%"
"12/27/2023","2.993","2.993","2.993","2.993","-3.92%"
"12/26/2023","3.115","3.115","3.115","3.115","2.16%"
"12/25/2023","3.049","3.049","3.049","3.049","0.36%"
"12/22/2023","3.039","3.039","3.039","3.039","-3.06%"
"12/21/2023","3.135","3.135","3.135","3.135","4.15%"
"12/20/2023","3.010","3.010","3.010","3.010","1.60%"
"12/19/2023","2.962","2.962","2.962","2.962","-2.90%"
"12/18/2023","3.050","3.050","3.050","3.050","0.26%"
"12/15/2023","3.043","3.043","3.043","3.043","1.38%"
"12/14/2023","3.001","3.001","3.001","3.001","-2.41%"
"12/13/2023","3.075","3.075","3.075","3.075","1.32%"
"12/12/2023","3.035","3.035","3.035","3.035","-2.22%"
"12/11/2023","3.104","3.104","3.104","3.104","0.34%"
"12/08/2023","3.093","3.093","3.093","3.093","1.14%"
"12/07/2023","3.059","3.059","3.059","3.059","1.09%"
"12/06/2023","3.026","3.026","3.026","3.026","-1.91%"
"12/05/2023","3.085","3.085","3.085","3.085","1.06%"
"12/04/2023","3.052","3.052","3.052","3.052","1.55%"
"12/01/2023","3.006","3.006","3.006","3.006","-1.72%"
"11/30/2023","3.058","3.058","3.058","3.058","0.92%"
"11/29/2023","3.030","3.030","3.030","3.030","-1.62%"
"11/28/2023","3.080","3.080","3.080","3.080","0.88%"
"11/27/2023","3.053","3.053","3.053","3.053","0.16%"
"11/24/2023","3.048","3.048","3.048","3.048","0.83%"
"11/23/2023","3.023","3.023","3.023","3.023","-1.47%"
"11/22/2023","3.068","3.068","3.068","3.068","0.79%"
"11/21/2023","3.044","3.044","3.044","3.044","-1.39%"
"11/20/2023","3.087","3.087","3.087","3.087","0.18%"
"11/17/2023","3.082","3.082","3.082","3.082","0.74%"
"11/16/2023","3.059","3.059","3.059","3.059","-0.28%"
"11/15/2023","3.068","3.068","3.068","3.068","0.71%"
"11/14/2023","3.046","3.046","3.046","3.046","0.69%"
"11/13/2023","3.025","3.025","3.025","3.025","0.08%"
"11/10/2023","3.023","3.023","3.023","3.023","-1.19%"
"11/09/2023","3.059","3.059","3.059","3.059","0.64%"
"11/08/2023","3.039","3.039","3.039","3.039","-1.14%"
"11/07/2023","3.075","3.075","3.075","3.075","0.00%"
"11/06/2023","3.075","3.075","3.075","3.075","0.74%"
"11/03/2023","3.052","3.052","3.052","3.052","-1.05%"
"11/02/2023","3.085","3.085","3.085","3.085","0.57%"
"11/01/2023","3.067","3.067","3.067","3.067","0.59%"
"10/31/2023","3.049","3.049","3.049","3.049","-1.02%"
"10/30/2023","3.080","3.033","3.080","3.033","2.44%"
